Base SKU,Shopify Store Product Handle,Title,Description,Cabinet Category,Cabinet Sub-Type,Product Weight (lbs),Price,Cost per item,Image Product Image URL,Cabinet Face Frame Type,Cabinet Doors Ct,Cabinet Drawer Ct,Cabinet False Drawer Ct,Cabinet Line,Cabinet Shelf Ct,Cabinet Trash Bin Ct,10x10 Kitchen Package,Cabinet Back Panel Details,Cabinet Bumper Details,Cabinet Door Details,Cabinet Door Hinge Details,Cabinet Door Hinge Ct,Cabinet Drawer Box Details,Cabinet Drawer Slide Details,Cabinet Face Frame Details,Cabinet Finish Details,Cabinet Interior Details,Cabinet Shelf Details,Cabinet Side Panel Details,Cabinet Assembly Video URL,BLUM Hardware Drawer Slides Upgrade Available,BLUM Hardware Drawer Slides Price,BLUM Cabinet Hinge Upgrade Available,BLUM Cabinet Hinge Upgrade Price,Cabinet Finish,Depth,Height,Width
BW-WDC2430,belmont-white-diagonal-corner-wall-18-30-24,Belmont White Diagonal Corner Wall - 18w 30h 24d,"Standard corner excellence with the Belmont White Contemporary Shaker Diagonal Corner Cabinet, 18″W x 30″H x 24″D. Single diagonal door provides easy access to corner storage without complex mechanisms. Two adjustable shelves maximize corner space utilization effectively. The angled design eliminates reaching into blind corners. Smart corner solution balancing accessibility with storage capacity.",Wall Cabinet,Corner Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/WDC2430_144a974b-5aa8-496e-855b-74cd9e6d5bae.png,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1/2"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/1e01c10848ad42eaaf419e1cbca50661.mp4,,,,8.00 USD,white,24.0in,30.0in,18.0in
BW-WDC2436,belmont-white-diagonal-corner-wall-18-36-24,Belmont White Diagonal Corner Wall - 18w 36h 24d,"Enhanced corner display with the Belmont White Contemporary Shaker Diagonal Corner Cabinet, 24″W x 36″H x 24″D. Increased height provides additional corner display capacity. Angled door with two shelves organizes corner contents efficiently. Enhanced corner solution adding vertical interest to standard configurations.",Wall Cabinet,Corner Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/WDC2436_3fd6d051-0ed6-4ef1-8f21-a78122b04aa2.png,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1/2"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/1e01c10848ad42eaaf419e1cbca50661.mp4,,,,12.00 USD,white,24.0in,36.0in,18.0in
BW-WDC2442,belmont-white-diagonal-corner-wall-18-42-24,Belmont White Diagonal Corner Wall - 18w 42h 24d,"Tall corner display with the Belmont White Contemporary Shaker Diagonal Corner Cabinet, 24″W x 42″H x 24″D. Extra-tall design creates impressive corner storage to ceiling height. Angled door with three shelves provides extensive corner organization. Premium corner solution for kitchens with high ceilings.",Wall Cabinet,Corner Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/WDC2442_05e0f532-eb55-40f3-8880-1726ab3cdadc.png,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1/2"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/1e01c10848ad42eaaf419e1cbca50661.mp4,,,,12.00 USD,white,24.0in,42.0in,18.0in
BW-PGDWDC2430,belmont-white-diagonal-corner-wall-cabinet-with-glass-door-18-30-24,Belmont White Diagonal Corner Wall Cabinet with Glass Door - 18w 30h 24d,The corner that finally earns its keep. This mid-height diagonal cabinet brings functionality to the trickiest kitchen space. Glass door means you can showcase collections while the angled design ensures everything stays accessible. Your corner just became the conversation piece.,Wall Cabinet,Glass-Front Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/GDWDC2430_f0977832-ca71-4aff-b310-55f9966a742e.png,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with tempered glass center. Special Diagonal Door configuration.,"Soft-Close, 6-Way Adjustable, 1/2"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",Painted to Match Exterior Finish; includes shelves & all visible interior surfaces.,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/1e01c10848ad42eaaf419e1cbca50661.mp4,,,,8.00 USD,white,24.0in,30.0in,18.0in
BW-PGDWDC2436,belmont-white-diagonal-corner-wall-cabinet-with-glass-door-18-36-24,Belmont White Diagonal Corner Wall Cabinet with Glass Door - 18w 36h 24d,Corner storage that makes sense. This tall diagonal cabinet with glass door creates dramatic vertical display in unused corner space. Three shelves mean serious storage while the angled front keeps everything visible and accessible. The corner cabinet that actually works.,Wall Cabinet,Glass-Front Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/GDWDC2436_6e4f7c1f-00c7-4bad-bab3-860fa6ea38f0.png,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with tempered glass center. Special Diagonal Door configuration.,"Soft-Close, 6-Way Adjustable, 1/2"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",Painted to Match Exterior Finish; includes shelves & all visible interior surfaces.,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/1e01c10848ad42eaaf419e1cbca50661.mp4,,,,8.00 USD,white,24.0in,36.0in,18.0in
BW-PGDWDC2442,belmont-white-diagonal-corner-wall-cabinet-with-glass-door-18-42-24,Belmont White Diagonal Corner Wall Cabinet with Glass Door - 18w 42h 24d,From corner afterthought to kitchen focal point. This extra-tall diagonal cabinet maximizes every inch of corner space with four adjustable shelves behind glass. The angled design means you can actually see and reach everything. Floor-to-ceiling elegance where walls meet.,Wall Cabinet,Glass-Front Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/GDWDC2442_62217326-d7fb-4e02-b8af-f9112262fdd3.png,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with tempered glass center. Special Diagonal Door configuration.,"Soft-Close, 6-Way Adjustable, 1/2"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",Painted to Match Exterior Finish; includes shelves & all visible interior surfaces.,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/1e01c10848ad42eaaf419e1cbca50661.mp4,,,,8.00 USD,white,24.0in,42.0in,18.0in
BW-PGDWDC2415,belmont-white-diagonal-corner-wall-cabinet-with-glass-door-24-15-24,Belmont White Diagonal Corner Wall Cabinet with Glass Door - 24w 15h 24d,"Finally, corner cabinets worth showing off. This diagonal design with glass door turns that awkward corner into prime display real estate. The angled front means better access than traditional corners while showcasing your favorites. No more black hole where dishes disappear.",Wall Cabinet,Glass-Front Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/GDWDC2415_4f4768d4-a068-478e-a473-83783c7a9e03.png,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with tempered glass center. Special Diagonal Door configuration.,"Soft-Close, 6-Way Adjustable, 1/2"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",Painted to Match Exterior Finish; includes shelves & all visible interior surfaces.,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/1e01c10848ad42eaaf419e1cbca50661.mp4,,,,8.00 USD,white,24.0in,15.0in,24.0in
BW-BF2424,belmont-white-double-base-cabinet-24-34-5-24,Belmont White Double Base Cabinet - 24w 34½h 24d,"Anchor kitchen layouts with the Belmont White Contemporary Shaker Double Base Cabinet, 24″W x 34½″H x 24″D. Classic two-door configuration with adjustable shelf provides balanced storage for dishes, pots, or pantry goods. The 21″ interior width easily houses larger items while maintaining organized accessibility. Versatile enough for any room – kitchen, laundry, garage, or workshop. Time-tested design delivering dependable storage wherever needed most.",Base Cabinet,Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/BF2424-belmont-shaker-full-height-double-door-base-cabinet-24w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/e273f93cdc9b492e8969af2cdd8cc37e.mp4,,,,16.00 USD,white,24.0in,34.5in,24.0in
BW-B27,belmont-white-double-base-cabinet-27-34-5-24,Belmont White Double Base Cabinet - 27w 34½h 24d,"Transitional width storage with the Belmont White Contemporary Shaker Double Base Cabinet, 27″W x 34½″H x 24″D. Two doors with adjustable shelf provide organized storage for medium to large items. Full-width drawer keeps frequently used items easily accessible. The 27″ width bridges gap between standard and wide cabinet sizes. Perfect for custom kitchen layouts requiring specific dimensions.",Base Cabinet,Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/B27-belmont-shaker-standard-base-cabinet-2-door-1-drawer-27w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,24.00 USD,,16.00 USD,white,24.0in,34.5in,27.0in
BW-B30,belmont-white-double-base-cabinet-30-34-5-24,Belmont White Double Base Cabinet - 30w 34½h 24d,"Classic kitchen workhorse with the Belmont White Contemporary Shaker Standard Double Base, 30″W x 34½″H x 24″D. Industry-standard width provides optimal storage capacity with two-door access. Top drawer and adjustable shelf create multiple organization zones. The 30″ dimension fits perfectly under standard countertop sections. Foundational cabinet for any kitchen design project.",Base Cabinet,Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/B30-belmont-shaker-standard-base-cabinet-2-door-1-drawer-30w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,24.00 USD,,16.00 USD,white,24.0in,34.5in,30.0in
BW-B33,belmont-white-double-base-cabinet-33-34-5-24,Belmont White Double Base Cabinet - 33w 34½h 24d,"Expanded double storage with the Belmont White Contemporary Shaker Wide Double Base, 33″W x 34½″H x 24″D. Increased width provides 10% more storage than standard 30″ cabinets. Two doors with center stile ensure structural integrity for heavy loads. Top drawer spans full width for maximum organization potential. Ideal for kitchens requiring extra capacity without jumping to 36″ width.",Base Cabinet,Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/B33-belmont-shaker-standard-base-cabinet-2-door-1-drawer-33w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,24.00 USD,,16.00 USD,white,24.0in,34.5in,33.0in
BW-B36,belmont-white-double-base-cabinet-36-34-5-24,Belmont White Double Base Cabinet - 36w 34½h 24d,"Maximum base storage with the Belmont White Contemporary Shaker Extra-Wide Double Base, 36″W x 34½″H x 24″D. Generous width accommodates large cookware, serving pieces, and appliances. Full-width drawer above two doors creates comprehensive storage system. The 36″ dimension makes statement while providing exceptional capacity. Premium storage solution for serious home chefs and entertainers.",Base Cabinet,Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/B36-belmont-shaker-standard-base-cabinet-2-door-1-drawer-36w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,24.00 USD,,16.00 USD,white,24.0in,34.5in,36.0in
BW-B24,belmont-white-double-door-base-24-34-5-24,Belmont White Double Door Base - 24w 34½h 24d,"Balance storage and style with the Belmont White Contemporary Shaker Double Door Base, 24″W x 34½″H x 24″D. Twin doors reveal adjustable shelf space while the full-width drawer organizes utensils, gadgets, or linens above. Standard width fits seamlessly into most kitchen layouts, providing versatile storage for cookware, small appliances, or pantry items. The two-door design eliminates center stile for improved interior access. Foundation piece for functional kitchen organization.",Base Cabinet,Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/B24-belmont-shaker-standard-base-cabinet-2-door-1-drawer-24w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,24.00 USD,,16.00 USD,white,24.0in,34.5in,24.0in
BW-VB2421,belmont-white-double-door-vanity-base-24-34-5-21,Belmont White Double Door Vanity Base - 24w 34½h 21d,"Balanced bathroom storage with the Belmont White Contemporary Shaker Double Door Vanity Base, 24″W x 34½″H x 21″D. Two doors with center stile provide symmetrical storage beneath single sink installations. Full-width drawer organizes toiletries and grooming essentials at convenient height. The 21″ depth maintains bathroom flow while maximizing storage capacity. Versatile vanity foundation suitable for undermount or vessel sink applications.",Vanity,Vanity Bases,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/belmont-white-vanity-base-cabinet-2-door-1-drawer-angled-view.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",18in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,24.00 USD,,16.00 USD,white,21.0in,34.5in,24.0in
BW-VB3021,belmont-white-double-door-vanity-base-30-34-5-21,Belmont White Double Door Vanity Base - 30w 34½h 21d,"Classic double vanity with the Belmont White Contemporary Shaker Vanity Base Cabinet, 30″W x 34½″H x 21″D. Two doors with center stile provide organized storage beneath single sink. Full-width drawer accommodates grooming essentials and toiletries efficiently. Foundation piece for traditional bathroom designs requiring balanced storage.",Vanity,Vanity Bases,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/belmont-white-vanity-base-cabinet-2-door-1-drawer-angled-view.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",18in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,"3/4"" thick. Height adjustable with polished steel shelf pins","5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,24.00 USD,,16.00 USD,white,21.0in,34.5in,30.0in
BW-W3015,belmont-white-double-door-wall-30-15-12,Belmont White Double Door Wall - 30w 15h 12d,"Horizontal storage accent with the Belmont White Contemporary Shaker Wall Cabinet, 30″W x 15″H x 12″D. Wide low-profile design perfect for bridging larger cabinets or over-range installations. Single door provides broad access to interior space. Essential for creating visual continuity in upper cabinet runs.",Wall Cabinet,Wall Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/W3015_a726ed8d-51fc-4b91-a714-99e0859fc15a.png,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/a724c0e578034f0fa6697703897b3006.mp4,,,,16.00 USD,white,12.0in,15.0in,30.0in
BW-W3315,belmont-white-double-door-wall-33-15-12,Belmont White Double Door Wall - 33w 15h 12d,"Wide horizontal accent with the Belmont White Contemporary Shaker Wall Cabinet, 33″W x 15″H x 12″D. Broad low-profile design creates horizontal emphasis in cabinet compositions. Single door provides wide access to organized storage. Perfect for bridging spaces or over-range installations.",Wall Cabinet,Wall Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/W3315_48489b98-3565-4574-8038-49d110cd2340.png,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/a724c0e578034f0fa6697703897b3006.mp4,,,,16.00 USD,white,12.0in,15.0in,33.0in
BW-W3615,belmont-white-double-door-wall-36-15-12,Belmont White Double Door Wall - 36w 15h 12d,"Wide horizontal storage with the Belmont White Contemporary Shaker Wall Cabinet, 36″W x 15″H x 12″D. Extensive width creates dramatic horizontal emphasis. Single door provides broad access to organized storage space. Essential for bridging large spaces or over-range installations.",Wall Cabinet,Wall Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/W3615_0ffb1d14-e1c5-4d5b-b1c9-daae80500c83.png,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,,,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/a724c0e578034f0fa6697703897b3006.mp4,,,,16.00 USD,white,12.0in,15.0in,36.0in
BW-B21TR,belmont-white-double-trash-pull-out-base-21-34-5-24,Belmont White Double Trash Pull-Out Base - 21w 34½h 24d,"Dual-bin waste solution with the Belmont White Contemporary Shaker Double Trash Pull-Out, 21″W x 34½″H x 24″D. Two separate bins enable waste and recycling separation behind lower drawer front. Top drawer stores bags, liners, and cleaning supplies conveniently above. Special order item providing comprehensive waste management in one cabinet. Environmental solution disguised as standard kitchen cabinetry.",Base Cabinet,Pull-Out Trash Cans,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/B21TR-belmont-shaker-double-trash-pull-out-base-cabinet-1-top-drawer-2-bin-21w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,Dual 35qt trash pull-out; drawer above; 5/8” Solid Wood Dovetail Construction,21in Soft-close Under Mount Drawer Slide & Side Mount Trash Pull-out Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,48.00 USD,,,white,24.0in,34.5in,21.0in
BW-VSD6021 DOUBLE,belmont-white-double-vanity-sink-drawer-60-34-5-21,Belmont White Double Vanity Sink & Drawer - 60w 34½h 21d,"Elevate your bathroom with the Belmont White Contemporary Shaker Double Vanity Sink &amp; Drawer Combo, 60″W x 34½″H x 21″D. Features dual sink cutouts for his-and-hers functionality, three central drawers for shared storage, and four doors for independent plumbing access. Perfect for master bathrooms, Jack-and-Jill configurations, or luxury guest suites. The 21″ vanity depth optimizes bathroom proportions while maximizing storage capacity.",Vanity,Vanity Bases,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/belmont-white-double-sink-vanity-base-cabinet-4-doors-3-drawers-middle-angled-view.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",18in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/91346d86eee94a5ca90687a9fdcf2b51.mp4,,72.00 USD,,32.00 USD,white,21.0in,34.5in,60.0in
